source,target,weight
42337,204812,1
58224,204813,1
51074,206862,1
24631,206862,1
8220,15547,1
8220,49666,1
559,8220,1
5511,8220,1
6453,8220,1
3491,8220,1
8220,34177,1
6939,8220,1
42337,204834,1
42337,51235,1
51235,58224,1
24631,202788,1
51074,59431,1
51074,51241,1
51241,58224,1
58224,208940,1
12880,59441,1
42337,59441,1
48029,59441,1
24631,42337,1
12880,24631,1
24631,48309,1
24631,52140,1
21341,24631,1
24631,57816,1
24631,206065,1
24631,59708,1
24631,50795,1
24631,59838,1
24631,201259,1
24631,206345,1
24631,51431,1
24631,56632,1
24631,35372,1
24631,208493,1
24631,210583,1
24631,216074,1
24631,61239,1
24631,47817,1
24631,204213,1
24631,206692,1
24631,203558,1
49207,58224,1
42337,204865,1
51280,58224,1
42337,51280,1
47188,49666,1
42337,200796,1
6939,12389,1
3257,12389,1
12389,49666,1
6762,12389,1
3491,12389,1
5511,12389,1
12389,25091,1
41061,58224,1
41061,50810,1
42337,204904,1
51074,59501,1
57457,58224,1
43754,57457,1
42337,59506,1
49100,59506,1
24707,58224,1
6736,24707,1
42337,211081,1
48434,204955,1
43754,204955,1
31549,204955,1
58224,59553,1
39074,49100,1
39074,62039,1
39074,57986,1
39074,50810,1
39074,61250,1
39074,61246,1
39074,208703,1
6453,34984,1
6762,34984,1
34984,49666,1
3257,34984,1
3491,34984,1
42337,59573,1
42337,209079,1
51411,58224,1
131284,216067,1
58224,211162,1
62442,211162,1
57563,58224,1
47330,50810,1
47330,202468,1
47330,201295,1
35043,42337,1
35043,43754,1
57574,58224,1
50810,57574,1
57574,200370,1
42337,51431,1
51431,214922,1
57577,58224,1
42337,51469,1
47376,49100,1
42337,47376,1
47376,48944,1
43754,47376,1
47376,62048,1
47376,205647,1
35088,58224,1
58224,203026,1
42337,49433,1
21341,49433,1
49100,49433,1
39200,49666,1
6736,39200,1
6453,25091,1
6453,49666,1
3257,6453,1
6453,29049,1
5511,6453,1
3491,6453,1
6453,6939,1
6453,6762,1
59703,206065,1
42337,59703,1
51074,59708,1
42337,203102,1
58224,203102,1
42337,59754,1
58224,59754,1
6736,12660,1
12660,42337,1
42337,205176,1
29049,49666,1
25091,29049,1
29049,34177,1
15547,29049,1
20932,29049,1
559,29049,1
6762,29049,1
3257,29049,1
5511,29049,1
6939,29049,1
58224,209279,1
42337,43395,1
41881,43395,1
43395,58224,1
43395,205647,1
6736,29068,1
12880,29068,1
29068,31549,1
29068,58224,1
49556,58224,1
42337,49556,1
29077,42337,1
42337,59797,1
12880,205207,1
198154,205207,1
42337,205207,1
205207,214526,1
205207,214361,1
29079,42337,1
29079,58224,1
43415,205647,1
43415,43754,1
42337,43415,1
42337,51618,1
42337,59838,1
6939,20932,1
20932,33891,1
559,20932,1
20932,49666,1
20932,34177,1
15547,20932,1
20932,198150,1
42337,215496,1
31182,58224,1
31182,42337,1
42337,211408,1
6736,35285,1
35285,58224,1
58224,211419,1
43487,58224,1
42337,201194,1
25184,59884,1
42337,59884,1
200370,203247,1
43510,58224,1
42337,43510,1
5511,49666,1
12880,49666,1
49666,216067,1
48159,49666,1
6762,49666,1
49666,58224,1
42337,49666,1
44244,49666,1
6939,49666,1
49666,197207,1
33891,49666,1
49666,198150,1
39533,49666,1
3257,49666,1
15547,49666,1
25091,49666,1
559,49666,1
34177,49666,1
41689,49666,1
3491,49666,1
49666,205647,1
49666,57218,1
31549,49666,1
42440,49666,1
25184,49666,1
49666,202468,1
49666,49832,1
49666,216383,1
48903,49666,1
3257,25091,1
5511,25091,1
6762,25091,1
6939,25091,1
25091,33891,1
559,25091,1
25091,34177,1
15547,25091,1
25091,198150,1
42337,59912,1
58224,59912,1
43528,58224,1
25184,43528,1
58224,61962,1
21341,201227,1
49680,200370,1
35372,206065,1
559,3257,1
559,6939,1
559,33891,1
559,15547,1
559,34177,1
559,198150,1
50810,51759,1
58224,209462,1
42337,59961,1
58224,59962,1
42337,59962,1
44400,59962,1
21341,51777,1
12880,31303,1
50810,51785,1
42337,51785,1
39501,42337,1
43754,201295,1
58224,201295,1
31549,201295,1
12880,42337,1
12880,202251,1
12880,216067,1
12880,48434,1
12880,58224,1
12880,62238,1
12880,200370,1
12880,41881,1
12880,202735,1
12880,50810,1
12880,60148,1
12880,57292,1
12880,51074,1
12880,34592,1
12880,21341,1
6736,39533,1
6736,43965,1
6736,41620,1
6736,56547,1
6736,42990,1
6736,48434,1
6736,21341,1
5542,6736,1
61386,197207,1
197207,202319,1
42337,62039,1
49100,62039,1
51074,62039,1
25184,49103,1
25184,43657,1
25184,62265,1
25184,49099,1
25184,42337,1
25184,42907,1
25184,208555,1
25184,201442,1
25184,203616,1
25184,44243,1
25184,205837,1
25184,205521,1
42337,62048,1
62048,205647,1
5511,6762,1
3491,6762,1
3257,6762,1
6762,216067,1
6762,6939,1
3491,39533,1
58224,60014,1
31549,60014,1
49792,50810,1
57986,58224,1
49796,58224,1
42337,49796,1
49796,51074,1
49801,205647,1
42337,49801,1
42337,43657,1
42337,213644,1
39571,42337,1
39571,41881,1
39571,51074,1
48434,215700,1
41620,51074,1
8868,58224,1
41881,51889,1
43754,51889,1
21170,51074,1
42337,49847,1
43754,49847,1
200370,209596,1
42337,62157,1
42337,205521,1
58224,211670,1
41689,43754,1
42337,62173,1
43754,62173,1
39650,49100,1
39650,42337,1
42337,201442,1
42337,213732,1
31549,213732,1
42337,60138,1
43754,49100,1
43754,50810,1
43754,51074,1
43754,206065,1
41881,43754,1
43754,44400,1
43754,48903,1
43754,44932,1
43754,49099,1
43754,210392,1
43754,204104,1
43754,61173,1
43754,61209,1
43754,212216,1
43754,212077,1
43754,209836,1
43754,61386,1
43754,210820,1
43754,213953,1
51074,205550,1
58224,60148,1
31549,62198,1
58224,62198,1
42337,213775,1
58224,205588,1
48147,205588,1
62229,62442,1
42337,62229,1
6939,15547,1
6939,34177,1
3491,6939,1
5511,6939,1
3257,6939,1
35615,42337,1
35615,50810,1
42337,62265,1
42337,58169,1
31549,205647,1
31549,61173,1
31549,44436,1
31549,198154,1
1756,31549,1
31549,50795,1
42337,207680,1
50810,205643,1
42337,205643,1
204104,205647,1
205647,211904,1
21341,48159,1
42337,203616,1
41881,203616,1
42337,52070,1
51074,52070,1
35690,58224,1
35690,42337,1
42337,62318,1
48159,58224,1
43965,58224,1
9147,58224,1
44208,58224,1
50733,58224,1
5542,58224,1
58224,60340,1
44045,58224,1
58224,203798,1
58224,203951,1
5627,58224,1
48898,58224,1
58224,62334,1
50692,58224,1
58224,203684,1
58224,204650,1
58224,60811,1
48147,58224,1
49103,58224,1
58224,216205,1
44400,58224,1
5618,58224,1
44410,58224,1
58224,61248,1
58224,204213,1
58224,208072,1
48121,58224,1
49148,58224,1
21419,58224,1
1756,58224,1
58224,61246,1
58224,60407,1
58224,208703,1
58224,201689,1
58224,61129,1
58224,204001,1
58224,61173,1
58224,210609,1
44243,58224,1
58224,60887,1
58224,204686,1
58224,205837,1
58224,205833,1
58224,212476,1
58224,210820,1
58224,58331,1
58224,200406,1
58224,210695,1
57241,58224,1
58224,205883,1
42337,209783,1
41856,51074,1
29577,42337,1
41881,62442,1
41881,202468,1
41881,48608,1
41881,42337,1
41881,202391,1
41881,204104,1
41881,48551,1
41881,204203,1
41881,211904,1
5618,41881,1
41881,60637,1
41881,50733,1
41881,44932,1
41881,210392,1
51074,215974,1
42337,211881,1
21419,48147,1
42337,209836,1
42337,52140,1
13231,51074,1
35766,51074,1
9147,42337,1
42337,52155,1
50810,52155,1
211904,214922,1
42337,213953,1
50114,51074,1
51074,207817,1
42337,199633,1
42337,58333,1
51074,52196,1
48551,62442,1
62442,212077,1
50810,60407,1
50177,51074,1
33891,216067,1
42337,216067,1
44244,216067,1
42337,205837,1
42337,48147,1
48159,206596,1
48159,212227,1
1756,48159,1
48159,202735,1
42019,51074,1
51074,207920,1
51074,56375,1
42043,42337,1
42043,51074,1
204650,212036,1
42337,212036,1
42337,205894,1
33891,34177,1
15547,33891,1
42337,60516,1
200370,212077,1
200370,203951,1
42337,44208,1
3257,3491,1
3257,5511,1
15547,34177,1
15547,198150,1
42337,60605,1
42337,212161,1
49100,60627,1
42337,60627,1
50810,56547,1
48434,212216,1
15611,42337,1
42337,212227,1
42337,48431,1
48434,210650,1
48434,61173,1
48434,49099,1
56632,200370,1
42337,204104,1
204203,214361,1
42337,48944,1
42337,61362,1
42337,202468,1
42337,49103,1
42337,202391,1
42337,204650,1
42337,206217,1
42337,44400,1
5618,42337,1
42337,61209,1
42337,208560,1
42337,61250,1
42337,61248,1
42337,42990,1
42337,204393,1
42337,198154,1
16292,42337,1
42337,198357,1
42337,212355,1
42337,61176,1
42337,42586,1
42337,200554,1
16018,42337,1
42337,50692,1
42337,198341,1
42337,214515,1
42337,214922,1
42337,214475,1
42337,204203,1
42337,210470,1
42337,210474,1
42337,48762,1
16320,42337,1
42337,214737,1
42337,44436,1
42337,49148,1
42337,210603,1
42337,206325,1
42337,214526,1
42337,44607,1
42337,208555,1
42337,202319,1
42337,61386,1
42337,212907,1
42337,204781,1
42337,48551,1
42337,57241,1
42337,204213,1
42337,61055,1
51074,208231,1
51074,208246,1
5511,34177,1
34177,198150,1
3491,5511,1
44436,204203,1
204203,208555,1
198154,214526,1
49100,202251,1
42586,50810,1
50810,208651,1
50810,61250,1
1756,49100,1
51074,61173,1
51074,206596,1
51074,57292,1
42907,51074,1
