source,target,bucket,edge,view,seed,coral_kind,balance_fit,alignment,n_target_windows,train_seconds,graph_build_ms_once,graph_build_ms_median,graph_build_ms_p95,forward_ms_median,forward_ms_p95,single_window_ms_median,single_window_ms_p95,batched_ms_per_window_median,skip_reason
rrc04_as12880,rrc05_as12880,same_as,knn,fusion_early,0,study_only,none,after_coral,5698,0.577,169.117,,,12.0783,18.7297,0.0021,0.0033,0.0021,
rrc04_as12880,rrc04_as3352,cross_as,knn,fusion_early,0,study_only,none,after_coral,7639,0.406,197.024,,,14.6168,20.4968,0.0019,0.0027,0.0019,
rrc04_as12880,rrc05_as12880,same_as,temporal,fusion_early,0,study_only,none,after_coral,5698,0.183,5.949,,,13.3926,18.262,0.0024,0.0032,0.0024,
rrc04_as12880,rrc04_as3352,cross_as,temporal,fusion_early,0,study_only,none,after_coral,7639,0.582,8.34,,,18.1719,25.9201,0.0024,0.0034,0.0024,
rrc04_as12880,rrc05_as12880,same_as,astopo_8h,fusion_early,0,study_only,none,after_coral,5698,118.011,,3.1273,3.7113,3.3039,5.6933,6.4596,9.1817,6.4596,
rrc04_as12880,rrc04_as3352,cross_as,astopo_8h,fusion_early,0,study_only,none,after_coral,7639,366.798,,3.3001,3.9755,3.3601,6.5331,6.6814,10.5424,6.6814,
rrc04_as12880,rrc05_as12880,same_as,astopo_8h_weighted,fusion_early,0,study_only,none,after_coral,5698,288.639,,3.1438,3.7726,5.0804,8.9364,8.2585,12.277,8.2585,
rrc04_as12880,rrc04_as3352,cross_as,astopo_8h_weighted,fusion_early,0,study_only,none,after_coral,7639,304.379,,3.415,4.0706,5.3117,9.3914,8.7589,13.1713,8.7589,
rrc04_as12880,rrc05_as12880,same_as,astopo_5m,fusion_early,0,study_only,none,after_coral,5698,118.18,,3.1635,3.8678,3.3231,4.6867,6.5524,8.2733,6.5524,
rrc04_as12880,rrc04_as3352,cross_as,astopo_5m,fusion_early,0,study_only,none,after_coral,7639,360.711,,3.3785,4.0434,3.3813,6.333,6.7518,10.398,6.7518,
rrc04_as3352,rrc05_as3352,same_as,astopo_5m,fusion_early,0,study_only,none,after_coral,6890,149.506,,3.3344,3.4688,3.3532,3.3962,6.6809,6.8243,6.6809,
rrc04_as3352,rrc05_as3352,same_as,astopo_8h,fusion_early,0,study_only,none,after_coral,6890,149.031,,3.3346,3.4416,3.3582,3.4052,6.6899,6.828,6.6899,
rrc04_as3352,rrc05_as3352,same_as,astopo_8h_weighted,fusion_early,0,study_only,none,after_coral,6890,264.592,,3.2974,3.3917,5.2293,5.3093,8.5298,8.6716,8.5298,
rrc04_as3352,rrc05_as3352,same_as,knn,fusion_early,0,study_only,none,after_coral,6890,0.429,190.607,,,12.5979,12.6131,0.0018,0.0018,0.0018,
rrc04_as3352,rrc05_as3352,same_as,temporal,fusion_early,0,study_only,none,after_coral,6890,0.703,6.89,,,14.1789,14.1972,0.0021,0.0021,0.0021,
rrc05_as3352,rrc04_as3352,same_as,astopo_5m,fusion_early,0,study_only,none,after_coral,7639,68.393,,3.2269,3.2749,3.3484,3.3709,6.5752,6.6407,6.5752,
rrc05_as3352,rrc04_as3352,same_as,astopo_8h,fusion_early,0,study_only,none,after_coral,7639,68.472,,3.3201,3.3779,3.4003,3.4289,6.7205,6.7979,6.7205,
rrc05_as3352,rrc04_as3352,same_as,knn,fusion_early,0,study_only,none,after_coral,7639,0.452,203.081,,,12.9281,12.9498,0.0017,0.0017,0.0017,
rrc05_as3352,rrc04_as3352,same_as,temporal,fusion_early,0,study_only,none,after_coral,7639,0.616,8.108,,,15.6482,15.663,0.002,0.0021,0.002,
rrc05_as12880,rrc04_as12880,same_as,astopo_5m,fusion_early,0,study_only,none,after_coral,6389,104.894,,3.0476,3.1008,3.3289,3.3554,6.374,6.4501,6.374,
rrc05_as12880,rrc04_as12880,same_as,astopo_8h,fusion_early,0,study_only,none,after_coral,6389,104.944,,3.0816,3.1429,3.3384,3.3803,6.4174,6.491,6.4174,
rrc05_as12880,rrc04_as12880,same_as,knn,fusion_early,0,study_only,none,after_coral,6389,0.453,744.957,,,12.1491,12.1869,0.0019,0.0019,0.0019,
rrc05_as12880,rrc04_as12880,same_as,temporal,fusion_early,0,study_only,none,after_coral,6389,0.293,7.362,,,13.3161,13.3377,0.0021,0.0021,0.0021,
rrc04_as12880,rrc05_as3352,cross_as,astopo_5m,fusion_early,0,study_only,none,after_coral,6890,124.349,,3.2838,3.3729,3.3538,3.3991,6.6414,6.7459,6.6414,
rrc04_as12880,rrc05_as3352,cross_as,astopo_8h,fusion_early,0,study_only,none,after_coral,6890,123.995,,3.3952,3.5357,3.3935,3.4669,6.7879,7.0074,6.7879,
rrc04_as12880,rrc05_as3352,cross_as,knn,fusion_early,0,study_only,none,after_coral,6890,0.349,188.152,,,12.5964,12.6101,0.0018,0.0018,0.0018,
rrc04_as12880,rrc05_as3352,cross_as,temporal,fusion_early,0,study_only,none,after_coral,6890,0.308,7.496,,,14.1685,14.184,0.0021,0.0021,0.0021,
rrc04_as3352,rrc04_as12880,cross_as,astopo_5m,fusion_early,0,study_only,none,after_coral,6389,59.538,,3.1015,3.1649,3.3211,3.3429,6.4211,6.5119,6.4211,
rrc04_as3352,rrc04_as12880,cross_as,astopo_8h,fusion_early,0,study_only,none,after_coral,6389,59.466,,3.0854,3.1333,3.3199,3.3384,6.403,6.4718,6.403,
rrc04_as3352,rrc04_as12880,cross_as,knn,fusion_early,0,study_only,none,after_coral,6389,0.53,181.133,,,12.1483,12.1628,0.0019,0.0019,0.0019,
rrc04_as3352,rrc04_as12880,cross_as,temporal,fusion_early,0,study_only,none,after_coral,6389,0.704,6.842,,,13.3049,13.3228,0.0021,0.0021,0.0021,
rrc04_as3352,rrc05_as12880,cross_as,astopo_5m,fusion_early,0,study_only,none,after_coral,5698,59.516,,3.1052,3.1582,3.3221,3.3356,6.4286,6.4882,6.4286,
rrc04_as3352,rrc05_as12880,cross_as,astopo_8h,fusion_early,0,study_only,none,after_coral,5698,59.523,,3.0886,3.1414,3.3153,3.3437,6.4044,6.4874,6.4044,
rrc04_as3352,rrc05_as12880,cross_as,knn,fusion_early,0,study_only,none,after_coral,5698,0.41,169.906,,,11.6929,11.7059,0.0021,0.0021,0.0021,
rrc04_as3352,rrc05_as12880,cross_as,temporal,fusion_early,0,study_only,none,after_coral,5698,0.32,5.987,,,12.0825,12.0982,0.0021,0.0021,0.0021,
rrc05_as12880,rrc04_as3352,cross_as,astopo_5m,fusion_early,0,study_only,none,after_coral,7639,136.636,,3.3038,3.3584,3.3965,3.4369,6.6974,6.7965,6.6974,
rrc05_as12880,rrc04_as3352,cross_as,astopo_8h,fusion_early,0,study_only,none,after_coral,7639,136.829,,3.3111,3.3955,3.4013,3.4427,6.7126,6.811,6.7126,
rrc05_as12880,rrc04_as3352,cross_as,knn,fusion_early,0,study_only,none,after_coral,7639,0.371,202.449,,,12.9272,12.9421,0.0017,0.0017,0.0017,
rrc05_as12880,rrc04_as3352,cross_as,temporal,fusion_early,0,study_only,none,after_coral,7639,0.252,8.497,,,15.6438,15.6558,0.002,0.002,0.002,
rrc05_as12880,rrc05_as3352,cross_as,astopo_5m,fusion_early,0,study_only,none,after_coral,6890,115.637,,3.4117,3.4984,3.423,3.4503,6.8368,6.9399,6.8368,
rrc05_as12880,rrc05_as3352,cross_as,astopo_8h,fusion_early,0,study_only,none,after_coral,6890,115.64,,3.4054,3.595,3.418,3.5132,6.8254,7.1147,6.8254,
rrc05_as12880,rrc05_as3352,cross_as,knn,fusion_early,0,study_only,none,after_coral,6890,0.375,188.943,,,12.6124,12.6283,0.0018,0.0018,0.0018,
rrc05_as12880,rrc05_as3352,cross_as,temporal,fusion_early,0,study_only,none,after_coral,6890,0.29,8.007,,,14.1745,14.1924,0.0021,0.0021,0.0021,
rrc05_as3352,rrc04_as12880,cross_as,astopo_5m,fusion_early,0,study_only,none,after_coral,6389,54.725,,3.0977,3.1547,3.3156,3.3348,6.4134,6.5105,6.4134,
rrc05_as3352,rrc04_as12880,cross_as,astopo_8h,fusion_early,0,study_only,none,after_coral,6389,54.519,,3.0788,3.1413,3.3146,3.3364,6.3922,6.4602,6.3922,
rrc05_as3352,rrc04_as12880,cross_as,knn,fusion_early,0,study_only,none,after_coral,6389,0.332,197.395,,,12.1514,12.1667,0.0019,0.0019,0.0019,
rrc05_as3352,rrc04_as12880,cross_as,temporal,fusion_early,0,study_only,none,after_coral,6389,0.617,7.073,,,13.3047,13.3212,0.0021,0.0021,0.0021,
rrc05_as3352,rrc05_as12880,cross_as,astopo_5m,fusion_early,0,study_only,none,after_coral,5698,122.793,,3.0965,3.1675,3.3118,3.3329,6.4084,6.4871,6.4084,
rrc05_as3352,rrc05_as12880,cross_as,astopo_8h,fusion_early,0,study_only,none,after_coral,5698,123.11,,3.0975,3.1807,3.3122,3.3316,6.4064,6.4932,6.4064,
rrc05_as3352,rrc05_as12880,cross_as,knn,fusion_early,0,study_only,none,after_coral,5698,0.319,170.324,,,11.6959,11.7101,0.0021,0.0021,0.0021,
rrc05_as3352,rrc05_as12880,cross_as,temporal,fusion_early,0,study_only,none,after_coral,5698,0.574,6.244,,,12.081,12.0974,0.0021,0.0021,0.0021,
