pair_label,bucket_label,edge,view,alignment,macro_f1_mean,macro_f1_std,pr_auc_anomaly_mean,recall_anomaly_mean,TP_mean,FP_mean,FN_mean,TN_mean
D1->D2,cross-AS,knn,fusion_early,after_coral,0.518,0.002,0.223,0.35,229.7,1540.0,427.3,5442.0
D1->D2,cross-AS,knn,fusion_early,before_coral,0.376,0.272,0.204,0.503,330.3,3233.0,326.7,3749.0
D1->D2,cross-AS,knn,graph,after_coral,0.301,0.011,0.073,0.18,118.0,4102.7,539.0,2879.3
D1->D2,cross-AS,knn,graph,before_coral,0.275,0.197,0.074,0.454,298.3,4003.0,358.7,2979.0
D1->D2,cross-AS,knn,stat,after_coral,0.499,0.01,0.203,0.34,223.3,1742.0,433.7,5240.0
D1->D2,cross-AS,knn,stat,before_coral,0.301,0.016,0.074,0.429,282.0,4536.3,375.0,2445.7
D1->D2,cross-AS,temporal,fusion_early,after_coral,0.462,0.005,0.135,0.334,219.3,2218.3,437.7,4763.7
D1->D2,cross-AS,temporal,fusion_early,before_coral,0.207,0.103,0.174,0.614,403.3,5586.3,253.7,1395.7
D1->D2,cross-AS,temporal,graph,after_coral,0.278,0.01,0.068,0.19,125.0,4426.0,532.0,2556.0
D1->D2,cross-AS,temporal,graph,before_coral,0.345,0.247,0.065,0.141,92.7,2267.7,564.3,4714.3
D1->D2,cross-AS,temporal,stat,after_coral,0.437,0.012,0.116,0.302,198.7,2472.7,458.3,4509.3
D1->D2,cross-AS,temporal,stat,before_coral,0.284,0.049,0.177,0.459,301.7,4749.3,355.3,2232.7
D1->D3,same-AS,knn,fusion_early,after_coral,0.774,0.102,0.889,0.883,533.3,651.3,70.7,4442.7
D1->D3,same-AS,knn,fusion_early,before_coral,0.616,0.072,0.489,0.532,321.3,942.7,282.7,4151.3
D1->D3,same-AS,knn,graph,after_coral,0.454,0.012,0.366,0.635,383.3,2362.7,220.7,2731.3
D1->D3,same-AS,knn,graph,before_coral,0.633,0.021,0.339,0.285,172.3,264.0,431.7,4830.0
D1->D3,same-AS,knn,stat,after_coral,0.785,0.014,0.725,0.716,432.7,354.3,171.3,4739.7
D1->D3,same-AS,knn,stat,before_coral,0.143,0.009,0.131,0.939,567.0,4832.7,37.0,261.3
D1->D3,same-AS,temporal,fusion_early,after_coral,0.682,0.069,0.601,0.852,514.7,1042.7,89.3,4051.3
D1->D3,same-AS,temporal,fusion_early,before_coral,0.635,0.026,0.354,0.384,231.7,483.0,372.3,4611.0
D1->D3,same-AS,temporal,graph,after_coral,0.4,0.05,0.354,0.726,438.3,2927.7,165.7,2166.3
D1->D3,same-AS,temporal,graph,before_coral,0.639,0.002,0.287,0.225,135.7,82.3,468.3,5011.7
D1->D3,same-AS,temporal,stat,after_coral,0.75,0.005,0.567,0.77,465.0,558.0,139.0,4536.0
D1->D3,same-AS,temporal,stat,before_coral,0.106,0.011,0.178,0.955,577.0,5027.7,27.0,66.3
D1->D4,cross-AS,knn,fusion_early,after_coral,0.567,0.009,0.486,0.899,308.3,1591.3,34.7,4955.7
D1->D4,cross-AS,knn,fusion_early,before_coral,0.473,0.366,0.48,0.631,216.3,2371.3,126.7,4175.7
D1->D4,cross-AS,knn,graph,after_coral,0.4,0.012,0.128,0.491,168.3,2906.3,174.7,3640.7
D1->D4,cross-AS,knn,graph,before_coral,0.467,0.161,0.138,0.305,104.7,1517.7,238.3,5029.3
D1->D4,cross-AS,knn,stat,after_coral,0.54,0.063,0.48,0.963,330.3,1961.0,12.7,4586.0
D1->D4,cross-AS,knn,stat,before_coral,0.261,0.017,0.103,0.975,334.3,4896.3,8.7,1650.7
D1->D4,cross-AS,temporal,fusion_early,after_coral,0.519,0.003,0.268,0.678,232.7,1748.0,110.3,4799.0
D1->D4,cross-AS,temporal,fusion_early,before_coral,0.43,0.188,0.246,0.724,248.3,2813.3,94.7,3733.7
D1->D4,cross-AS,temporal,graph,after_coral,0.367,0.005,0.117,0.521,178.7,3372.3,164.3,3174.7
D1->D4,cross-AS,temporal,graph,before_coral,0.48,0.122,0.136,0.212,72.7,1233.3,270.3,5313.7
D1->D4,cross-AS,temporal,stat,after_coral,0.482,0.014,0.25,0.798,273.7,2329.7,69.3,4217.3
D1->D4,cross-AS,temporal,stat,before_coral,0.106,0.035,0.123,0.992,340.3,6154.3,2.7,392.7
D2->D1,cross-AS,knn,fusion_early,after_coral,0.661,0.134,0.742,0.848,584.0,1415.7,105.0,4284.3
D2->D1,cross-AS,knn,fusion_early,before_coral,0.187,0.156,0.147,0.993,684.0,5100.0,5.0,600.0
D2->D1,cross-AS,knn,graph,after_coral,0.466,0.002,0.132,0.361,249.0,1940.3,440.0,3759.7
D2->D1,cross-AS,knn,graph,before_coral,0.102,0.007,0.106,0.991,683.0,5673.0,6.0,27.0
D2->D1,cross-AS,knn,stat,after_coral,0.682,0.037,0.888,0.952,656.0,1311.0,33.0,4389.0
D2->D1,cross-AS,knn,stat,before_coral,0.91,0.006,0.886,0.789,543.3,65.0,145.7,5635.0
D2->D1,cross-AS,temporal,fusion_early,after_coral,0.582,0.115,0.408,0.745,513.0,1781.3,176.0,3918.7
D2->D1,cross-AS,temporal,fusion_early,before_coral,0.195,0.17,0.119,0.944,650.7,4977.7,38.3,722.3
D2->D1,cross-AS,temporal,graph,after_coral,0.459,0.034,0.134,0.434,299.3,2170.3,389.7,3529.7
D2->D1,cross-AS,temporal,graph,before_coral,0.223,0.216,0.119,0.666,459.0,3797.3,230.0,1902.7
D2->D1,cross-AS,temporal,stat,after_coral,0.584,0.021,0.417,0.862,594.0,1892.7,95.0,3807.3
D2->D1,cross-AS,temporal,stat,before_coral,0.57,0.071,0.259,0.542,373.3,1055.7,315.7,4644.3
D2->D3,cross-AS,knn,fusion_early,after_coral,0.568,0.051,0.527,0.746,450.3,1618.7,153.7,3475.3
D2->D3,cross-AS,knn,fusion_early,before_coral,0.099,0.005,0.107,0.988,596.7,5074.7,7.3,19.3
D2->D3,cross-AS,knn,graph,after_coral,0.551,0.006,0.326,0.308,186.3,827.7,417.7,4266.3
D2->D3,cross-AS,knn,graph,before_coral,0.097,0.003,0.103,0.986,595.3,5081.0,8.7,13.0
D2->D3,cross-AS,knn,stat,after_coral,0.577,0.023,0.634,0.811,490.0,1645.0,114.0,3449.0
D2->D3,cross-AS,knn,stat,before_coral,0.308,0.027,0.506,0.889,536.7,3807.3,67.3,1286.7
D2->D3,cross-AS,temporal,fusion_early,after_coral,0.515,0.013,0.382,0.663,400.3,1891.3,203.7,3202.7
D2->D3,cross-AS,temporal,fusion_early,before_coral,0.194,0.17,0.113,0.911,550.0,4408.3,54.0,685.7
D2->D3,cross-AS,temporal,graph,after_coral,0.493,0.013,0.297,0.416,251.3,1594.0,352.7,3500.0
D2->D3,cross-AS,temporal,graph,before_coral,0.221,0.217,0.159,0.667,402.7,3396.0,201.3,1698.0
D2->D3,cross-AS,temporal,stat,after_coral,0.509,0.003,0.346,0.745,450.0,2061.7,154.0,3032.3
D2->D3,cross-AS,temporal,stat,before_coral,0.239,0.173,0.309,0.838,506.0,4058.7,98.0,1035.3
D2->D4,same-AS,knn,fusion_early,after_coral,0.509,0.092,0.561,0.84,288.0,2156.7,55.0,4390.3
D2->D4,same-AS,knn,fusion_early,before_coral,0.237,0.263,0.079,0.718,246.3,4351.3,96.7,2195.7
D2->D4,same-AS,knn,graph,after_coral,0.381,0.078,0.129,0.52,178.3,3073.0,164.7,3474.0
D2->D4,same-AS,knn,graph,before_coral,0.314,0.209,0.089,0.607,208.3,3624.3,134.7,2922.7
D2->D4,same-AS,knn,stat,after_coral,0.46,0.006,0.687,0.945,324.0,2759.0,19.0,3788.0
D2->D4,same-AS,knn,stat,before_coral,0.436,0.012,0.566,0.958,328.7,3045.7,14.3,3501.3
D2->D4,same-AS,temporal,fusion_early,after_coral,0.462,0.073,0.258,0.684,234.7,2430.0,108.3,4117.0
D2->D4,same-AS,temporal,fusion_early,before_coral,0.217,0.287,0.077,0.699,239.7,4390.3,103.3,2156.7
D2->D4,same-AS,temporal,graph,after_coral,0.363,0.082,0.126,0.522,179.0,3328.7,164.0,3218.3
D2->D4,same-AS,temporal,graph,before_coral,0.295,0.203,0.079,0.686,235.3,3984.7,107.7,2562.3
D2->D4,same-AS,temporal,stat,after_coral,0.404,0.03,0.258,0.894,306.7,3341.3,36.3,3205.7
D2->D4,same-AS,temporal,stat,before_coral,0.24,0.203,0.182,0.728,249.7,4446.7,93.3,2100.3
D3->D1,same-AS,knn,fusion_early,after_coral,0.743,0.011,0.798,0.861,593.3,799.7,95.7,4900.3
D3->D1,same-AS,knn,fusion_early,before_coral,0.537,0.001,0.127,0.13,89.7,364.0,599.3,5336.0
D3->D1,same-AS,knn,graph,after_coral,0.403,0.036,0.115,0.52,358.3,2921.7,330.7,2778.3
D3->D1,same-AS,knn,graph,before_coral,0.392,0.111,0.124,0.583,401.7,3032.7,287.3,2667.3
D3->D1,same-AS,knn,stat,after_coral,0.683,0.011,0.691,0.833,574.0,1109.3,115.0,4590.7
D3->D1,same-AS,knn,stat,before_coral,0.62,0.32,0.686,0.669,460.7,1658.7,228.3,4041.3
D3->D1,same-AS,temporal,fusion_early,after_coral,0.652,0.011,0.471,0.724,498.7,1128.3,190.3,4571.7
D3->D1,same-AS,temporal,fusion_early,before_coral,0.538,0.002,0.129,0.137,94.3,388.0,594.7,5312.0
D3->D1,same-AS,temporal,graph,after_coral,0.428,0.019,0.116,0.48,330.7,2612.3,358.3,3087.7
D3->D1,same-AS,temporal,graph,before_coral,0.463,0.094,0.132,0.412,284.0,1938.0,405.0,3762.0
D3->D1,same-AS,temporal,stat,after_coral,0.642,0.047,0.457,0.739,509.3,1247.0,179.7,4453.0
D3->D1,same-AS,temporal,stat,before_coral,0.465,0.072,0.116,0.295,203.3,1619.3,485.7,4080.7
D3->D2,cross-AS,knn,fusion_early,after_coral,0.453,0.009,0.135,0.217,142.7,1959.7,514.3,5022.3
D3->D2,cross-AS,knn,fusion_early,before_coral,0.489,0.002,0.103,0.012,7.7,0.0,649.3,6982.0
D3->D2,cross-AS,knn,graph,after_coral,0.345,0.017,0.057,0.159,104.7,3427.3,552.3,3554.7
D3->D2,cross-AS,knn,graph,before_coral,0.079,0.0,0.094,1.0,657.0,6982.0,0.0,0.0
D3->D2,cross-AS,knn,stat,after_coral,0.444,0.003,0.123,0.237,155.7,2162.7,501.3,4819.3
D3->D2,cross-AS,knn,stat,before_coral,0.469,0.068,0.12,0.168,110.7,1452.7,546.3,5529.3
D3->D2,cross-AS,temporal,fusion_early,after_coral,0.421,0.041,0.107,0.258,169.3,2577.0,487.7,4405.0
D3->D2,cross-AS,temporal,fusion_early,before_coral,0.488,0.0,0.067,0.011,7.0,4.0,650.0,6978.0
D3->D2,cross-AS,temporal,graph,after_coral,0.377,0.032,0.062,0.145,95.3,2882.7,561.7,4099.3
D3->D2,cross-AS,temporal,graph,before_coral,0.22,0.231,0.088,0.67,440.3,4630.7,216.7,2351.3
D3->D2,cross-AS,temporal,stat,after_coral,0.428,0.03,0.096,0.3,197.3,2574.0,459.7,4408.0
D3->D2,cross-AS,temporal,stat,before_coral,0.47,0.01,0.06,0.029,19.0,544.3,638.0,6437.7
D3->D4,cross-AS,knn,fusion_early,after_coral,0.53,0.01,0.526,0.645,221.3,1584.7,121.7,4962.3
D3->D4,cross-AS,knn,fusion_early,before_coral,0.556,0.0,0.133,0.073,25.0,0.0,318.0,6547.0
D3->D4,cross-AS,knn,graph,after_coral,0.395,0.033,0.121,0.571,196.0,3078.3,147.0,3468.7
D3->D4,cross-AS,knn,graph,before_coral,0.047,0.0,0.061,1.0,343.0,6547.0,0.0,0.0
D3->D4,cross-AS,knn,stat,after_coral,0.499,0.004,0.47,0.603,207.0,1854.3,136.0,4692.7
D3->D4,cross-AS,knn,stat,before_coral,0.458,0.136,0.169,0.316,108.3,1979.3,234.7,4567.7
D3->D4,cross-AS,temporal,fusion_early,after_coral,0.453,0.032,0.202,0.603,207.0,2400.7,136.0,4146.3
D3->D4,cross-AS,temporal,fusion_early,before_coral,0.551,0.007,0.119,0.068,23.3,2.7,319.7,6544.3
D3->D4,cross-AS,temporal,graph,after_coral,0.389,0.047,0.132,0.45,154.3,2975.3,188.7,3571.7
D3->D4,cross-AS,temporal,graph,before_coral,0.14,0.161,0.101,0.846,290.3,5658.0,52.7,889.0
D3->D4,cross-AS,temporal,stat,after_coral,0.45,0.04,0.155,0.602,206.3,2432.0,136.7,4115.0
D3->D4,cross-AS,temporal,stat,before_coral,0.445,0.036,0.036,0.081,27.7,1246.0,315.3,5301.0
D4->D1,cross-AS,knn,fusion_early,after_coral,0.83,0.011,0.776,0.822,566.7,358.0,122.3,5342.0
D4->D1,cross-AS,knn,fusion_early,before_coral,0.605,0.039,0.256,0.23,158.3,240.3,530.7,5459.7
D4->D1,cross-AS,knn,graph,after_coral,0.405,0.087,0.135,0.58,399.7,2961.0,289.3,2739.0
D4->D1,cross-AS,knn,graph,before_coral,0.347,0.216,0.121,0.332,229.0,1900.0,460.0,3800.0
D4->D1,cross-AS,knn,stat,after_coral,0.823,0.031,0.781,0.811,559.0,379.3,130.0,5320.7
D4->D1,cross-AS,knn,stat,before_coral,0.817,0.007,0.888,0.498,343.3,3.0,345.7,5697.0
D4->D1,cross-AS,temporal,fusion_early,after_coral,0.728,0.002,0.509,0.701,483.0,641.3,206.0,5058.7
D4->D1,cross-AS,temporal,fusion_early,before_coral,0.519,0.102,0.348,0.73,502.7,2170.7,186.3,3529.3
D4->D1,cross-AS,temporal,graph,after_coral,0.469,0.02,0.146,0.455,313.7,2128.7,375.3,3571.3
D4->D1,cross-AS,temporal,graph,before_coral,0.477,0.009,0.125,0.12,82.7,569.0,606.3,5131.0
D4->D1,cross-AS,temporal,stat,after_coral,0.729,0.013,0.516,0.671,462.3,587.7,226.7,5112.3
D4->D1,cross-AS,temporal,stat,before_coral,0.78,0.007,0.562,0.593,408.3,248.7,280.7,5451.3
D4->D2,same-AS,knn,fusion_early,after_coral,0.53,0.041,0.244,0.303,199.3,1275.3,457.7,5706.7
D4->D2,same-AS,knn,fusion_early,before_coral,0.47,0.003,0.081,0.093,61.0,1101.3,596.0,5880.7
D4->D2,same-AS,knn,graph,after_coral,0.296,0.076,0.074,0.157,103.3,4055.7,553.7,2926.3
D4->D2,same-AS,knn,graph,before_coral,0.403,0.144,0.091,0.346,227.0,2166.7,430.0,4815.3
D4->D2,same-AS,knn,stat,after_coral,0.545,0.037,0.204,0.272,179.0,998.0,478.0,5984.0
D4->D2,same-AS,knn,stat,before_coral,0.615,0.007,0.232,0.237,155.7,281.7,501.3,6700.3
D4->D2,same-AS,temporal,fusion_early,after_coral,0.531,0.015,0.21,0.305,200.7,1242.0,456.3,5740.0
D4->D2,same-AS,temporal,fusion_early,before_coral,0.618,0.106,0.291,0.654,429.7,1195.7,227.3,5786.3
D4->D2,same-AS,temporal,graph,after_coral,0.332,0.012,0.067,0.153,100.3,3607.0,556.7,3375.0
D4->D2,same-AS,temporal,graph,before_coral,0.486,0.01,0.113,0.304,200.0,1219.0,457.0,5763.0
D4->D2,same-AS,temporal,stat,after_coral,0.537,0.006,0.205,0.305,200.7,1180.3,456.3,5801.7
D4->D2,same-AS,temporal,stat,before_coral,0.541,0.032,0.155,0.375,246.3,1373.0,410.7,5609.0
D4->D3,cross-AS,knn,fusion_early,after_coral,0.685,0.101,0.63,0.728,440.0,888.0,164.0,4206.0
D4->D3,cross-AS,knn,fusion_early,before_coral,0.677,0.109,0.479,0.531,321.0,656.3,283.0,4437.7
D4->D3,cross-AS,knn,graph,after_coral,0.505,0.007,0.27,0.569,343.7,1805.7,260.3,3288.3
D4->D3,cross-AS,knn,graph,before_coral,0.347,0.217,0.202,0.333,201.0,1698.0,403.0,3396.0
D4->D3,cross-AS,knn,stat,after_coral,0.686,0.082,0.529,0.577,348.3,625.3,255.7,4468.7
D4->D3,cross-AS,knn,stat,before_coral,0.491,0.004,0.223,0.784,473.3,2282.0,130.7,2812.0
D4->D3,cross-AS,temporal,fusion_early,after_coral,0.715,0.031,0.505,0.66,398.7,571.3,205.3,4522.7
D4->D3,cross-AS,temporal,fusion_early,before_coral,0.32,0.389,0.244,0.834,503.7,3450.0,100.3,1644.0
D4->D3,cross-AS,temporal,graph,after_coral,0.521,0.046,0.388,0.604,365.0,1740.3,239.0,3353.7
D4->D3,cross-AS,temporal,graph,before_coral,0.387,0.146,0.193,0.297,179.7,1461.7,424.3,3632.3
D4->D3,cross-AS,temporal,stat,after_coral,0.739,0.017,0.508,0.642,388.0,440.0,216.0,4654.0
D4->D3,cross-AS,temporal,stat,before_coral,0.224,0.049,0.156,0.941,568.3,4376.3,35.7,717.7
