pair,edge,alignment,present
D1->D3,astopo_8h,before_coral,yes
D1->D3,astopo_8h,after_coral,yes
D2->D4,astopo_8h,before_coral,yes
D2->D4,astopo_8h,after_coral,yes
D2->D3,astopo_8h,before_coral,yes
D2->D3,astopo_8h,after_coral,yes
D3->D4,astopo_8h,before_coral,yes
D3->D4,astopo_8h,after_coral,yes
D1->D4,astopo_8h,before_coral,yes
D1->D4,astopo_8h,after_coral,yes
D1->D2,astopo_8h,before_coral,yes
D1->D2,astopo_8h,after_coral,yes
D2->D1,astopo_8h,before_coral,yes
D2->D1,astopo_8h,after_coral,yes
D3->D1,astopo_8h,before_coral,yes
D3->D1,astopo_8h,after_coral,yes
D3->D2,astopo_8h,before_coral,yes
D3->D2,astopo_8h,after_coral,yes
D4->D1,astopo_8h,before_coral,yes
D4->D1,astopo_8h,after_coral,yes
D4->D2,astopo_8h,before_coral,yes
D4->D2,astopo_8h,after_coral,yes
D4->D3,astopo_8h,before_coral,yes
D4->D3,astopo_8h,after_coral,yes
D1->D3,astopo_8h_weighted,before_coral,yes
D1->D3,astopo_8h_weighted,after_coral,yes
D2->D4,astopo_8h_weighted,before_coral,yes
D2->D4,astopo_8h_weighted,after_coral,yes
D2->D3,astopo_8h_weighted,before_coral,yes
D2->D3,astopo_8h_weighted,after_coral,yes
D3->D4,astopo_8h_weighted,before_coral,yes
D3->D4,astopo_8h_weighted,after_coral,yes
D1->D4,astopo_8h_weighted,before_coral,yes
D1->D4,astopo_8h_weighted,after_coral,yes
D1->D2,astopo_8h_weighted,before_coral,yes
D1->D2,astopo_8h_weighted,after_coral,yes
D2->D1,astopo_8h_weighted,before_coral,yes
D2->D1,astopo_8h_weighted,after_coral,yes
D3->D1,astopo_8h_weighted,before_coral,yes
D3->D1,astopo_8h_weighted,after_coral,yes
D3->D2,astopo_8h_weighted,before_coral,yes
D3->D2,astopo_8h_weighted,after_coral,yes
D4->D1,astopo_8h_weighted,before_coral,yes
D4->D1,astopo_8h_weighted,after_coral,yes
D4->D2,astopo_8h_weighted,before_coral,yes
D4->D2,astopo_8h_weighted,after_coral,yes
D4->D3,astopo_8h_weighted,before_coral,yes
D4->D3,astopo_8h_weighted,after_coral,yes
D1->D3,astopo_8h_gps,before_coral,yes
D1->D3,astopo_8h_gps,after_coral,yes
D2->D4,astopo_8h_gps,before_coral,yes
D2->D4,astopo_8h_gps,after_coral,yes
D2->D3,astopo_8h_gps,before_coral,yes
D2->D3,astopo_8h_gps,after_coral,yes
D3->D4,astopo_8h_gps,before_coral,yes
D3->D4,astopo_8h_gps,after_coral,yes
D1->D4,astopo_8h_gps,before_coral,yes
D1->D4,astopo_8h_gps,after_coral,yes
D1->D2,astopo_8h_gps,before_coral,yes
D1->D2,astopo_8h_gps,after_coral,yes
D2->D1,astopo_8h_gps,before_coral,yes
D2->D1,astopo_8h_gps,after_coral,yes
D3->D1,astopo_8h_gps,before_coral,yes
D3->D1,astopo_8h_gps,after_coral,yes
D3->D2,astopo_8h_gps,before_coral,yes
D3->D2,astopo_8h_gps,after_coral,yes
D4->D1,astopo_8h_gps,before_coral,yes
D4->D1,astopo_8h_gps,after_coral,yes
D4->D2,astopo_8h_gps,before_coral,yes
D4->D2,astopo_8h_gps,after_coral,yes
D4->D3,astopo_8h_gps,before_coral,yes
D4->D3,astopo_8h_gps,after_coral,yes
D1->D3,astopo_8h_gps_pe,before_coral,yes
D1->D3,astopo_8h_gps_pe,after_coral,yes
D2->D4,astopo_8h_gps_pe,before_coral,yes
D2->D4,astopo_8h_gps_pe,after_coral,yes
D2->D3,astopo_8h_gps_pe,before_coral,yes
D2->D3,astopo_8h_gps_pe,after_coral,yes
D3->D4,astopo_8h_gps_pe,before_coral,yes
D3->D4,astopo_8h_gps_pe,after_coral,yes
D1->D4,astopo_8h_gps_pe,before_coral,yes
D1->D4,astopo_8h_gps_pe,after_coral,yes
D1->D2,astopo_8h_gps_pe,before_coral,yes
D1->D2,astopo_8h_gps_pe,after_coral,yes
D2->D1,astopo_8h_gps_pe,before_coral,yes
D2->D1,astopo_8h_gps_pe,after_coral,yes
D3->D1,astopo_8h_gps_pe,before_coral,yes
D3->D1,astopo_8h_gps_pe,after_coral,yes
D3->D2,astopo_8h_gps_pe,before_coral,yes
D3->D2,astopo_8h_gps_pe,after_coral,yes
D4->D1,astopo_8h_gps_pe,before_coral,yes
D4->D1,astopo_8h_gps_pe,after_coral,yes
D4->D2,astopo_8h_gps_pe,before_coral,yes
D4->D2,astopo_8h_gps_pe,after_coral,yes
D4->D3,astopo_8h_gps_pe,before_coral,yes
D4->D3,astopo_8h_gps_pe,after_coral,yes
D1->D3,astopo_8h_hgt,before_coral,yes
D1->D3,astopo_8h_hgt,after_coral,yes
D2->D4,astopo_8h_hgt,before_coral,yes
D2->D4,astopo_8h_hgt,after_coral,yes
D2->D3,astopo_8h_hgt,before_coral,yes
D2->D3,astopo_8h_hgt,after_coral,yes
D3->D4,astopo_8h_hgt,before_coral,yes
D3->D4,astopo_8h_hgt,after_coral,yes
D1->D4,astopo_8h_hgt,before_coral,yes
D1->D4,astopo_8h_hgt,after_coral,yes
D1->D2,astopo_8h_hgt,before_coral,yes
D1->D2,astopo_8h_hgt,after_coral,yes
D2->D1,astopo_8h_hgt,before_coral,yes
D2->D1,astopo_8h_hgt,after_coral,yes
D3->D1,astopo_8h_hgt,before_coral,yes
D3->D1,astopo_8h_hgt,after_coral,yes
D3->D2,astopo_8h_hgt,before_coral,yes
D3->D2,astopo_8h_hgt,after_coral,yes
D4->D1,astopo_8h_hgt,before_coral,yes
D4->D1,astopo_8h_hgt,after_coral,yes
D4->D2,astopo_8h_hgt,before_coral,yes
D4->D2,astopo_8h_hgt,after_coral,yes
D4->D3,astopo_8h_hgt,before_coral,yes
D4->D3,astopo_8h_hgt,after_coral,yes
